020fb10612153223,enableloscheck
04f8a92ebabf37ee,canbedormant
05c766d1d0140b86,hasclientomnvar
0d2c07a25a9a590c,createifneeded
0e91ae2ccca2d456,isvdayscope
1682192f91884908,getstartingrank
183e608ffd1e6ff1,issnoopscope
18ebde099939503b,canbeusedcallback
2406067d86a843f4,disableownerdamage
3610ed5e20015d0d,registerslayerperk
4202dbfeb87e9ddb,getequippedcontrail
42721d6d89d21164,hastimeddetonation
4520e0d9c889c80a,onblockedcallback
4637bce4207a6a03,watchriderdeath
4ac3be8ede222857,waittimeouttime
5a15b3baf50bc587,disableforcedads
5ba9f6826d11778e,enableforcedads
5c3ccffdcf2e7d20,hasexternalgascan
6587916bf2052af1,shouldhavewarning
6a1dd038cf91761d,isclassifiedweapon
7014eab38cc786fb,watchmanualexit
7ea6d66bfed6ffa9,gethelperguy
82491e1bc74dd239,setapproachposition
9cc64b926699342e,isspawnedturret
c3e9f4759ee0b1fe,canleaveroads
ccc8d1ad327315cd,disablegunbenchcharacter
d922cfa94c5afc77,isviewmodeloutlineenabled
e6885d5990982272,getequippedparachute
e70cef93d47168b3,playdetonatorsound
ee1abbdbec1caece,iswontonswhiskey
f5a633a119babf80,isclientprop
fbde1ca37c2aeeb6,getstartingxp
